learning_rate,weight_decay,batch_size,num_epochs,scheduler_patience,scheduler_factor,hidden_dropout_prob,attention_probs_dropout_prob,train_accuracy,train_loss,val_accuracy,val_loss,test_accuracy,test_loss
1e-05,0.01,16,15,3,0.1,0.1,0.1,97.24264705882352,0.10264736596659264,83.13782991202346,0.7526883745652645,92.90989660265879,0.353894620765607
1e-05,0.01,32,15,3,0.1,0.1,0.1,97.57352941176471,0.09211112073732211,84.1642228739003,0.6905235140151236,93.205317577548,0.3326003120692317
1e-05,0.02,16,15,3,0.1,0.1,0.1,97.77573529411765,0.0903827890425044,84.60410557184751,0.6991346540622586,92.90989660265879,0.3316845395710579
1e-05,0.02,32,15,3,0.1,0.1,0.1,97.38970588235294,0.09531101840274299,85.92375366568915,0.6228525552162251,94.09158050221565,0.32165683836264664
5e-05,0.01,16,15,3,0.1,0.1,0.1,98.65808823529412,0.057246589488075934,85.19061583577712,0.8493543520818876,93.64844903988183,0.36828374519381063
5e-05,0.01,32,15,3,0.1,0.1,0.1,98.36397058823529,0.06369456777020413,86.80351906158357,0.8207357281948938,94.97784342688331,0.35025568006473573
5e-05,0.02,16,15,3,0.1,0.1,0.1,98.47426470588235,0.062443702651516476,84.4574780058651,0.7791748112284167,95.27326440177252,0.3404887265547417
5e-05,0.02,32,15,3,0.1,0.1,0.1,98.2904411764706,0.0650766237611499,86.21700879765396,0.6999427091850098,95.27326440177252,0.3064463051837371
